case_name,category,label,stake_eur,floor_eur,oracle_eur,fitness,noop_score,noop_pass,rules_score,rules_pass,llm_score,llm_pass,claude_score,claude_pass,ds-cautious_score,ds-cautious_pass,ds-balanced_score,ds-balanced_pass,ds-aggressive_score,ds-aggressive_pass
G00-000,COMBO,"silent fault (Munich 46%, 12:15) + missed cloud bank (Zaragoza, midday) + under-forecast sun (Valencia, afternoon) on a high-evening-price day",11954,10155,-1799,1.2437,0.0,0,0.0109,0,0.4757,0,0.051,0,0.134,0,0.3355,0,0.3127,0
G00-001,COMBO,"silent fault (Valencia 50%, 10:30) + missed cloud bank (Zaragoza, morning) + missed cloud bank (Valencia, morning)",14480,18986,4507,1.2229,0.0,0,0.022,0,0.6862,1,0.6556,1,0.132,0,0.678,1,0.4464,0
G00-002,COMBO,"silent fault (Valencia 28%, 15:00) + under-forecast sun (Munich, midday) + under-forecast sun (Zaragoza, midday)",8283,4706,-3578,1.2,0.0,0,0.0347,0,0.4327,0,0.1008,0,0.394,0,0.3218,0,0.4979,0
G00-003,COMBO,"silent fault (Zaragoza 31%, 19:00) + missed cloud bank (Zaragoza, midday) + under-forecast sun (Zaragoza, afternoon)",7433,3149,-4284,1.1907,0.0,0,0.0,0,0.3092,0,0.2898,0,0.4305,0,0.4359,0,0.0945,0
G00-004,COMBO,"silent fault (Valencia 50%, 10:30) + missed cloud bank (Valencia, morning)",13247,16247,3000,1.186,0.0,0,0.0669,0,0.8357,1,0.7824,1,0.1348,0,0.1046,0,0.7981,1
G00-005,WEATHER,"under-forecast sun (Munich, midday) + under-forecast sun (Zaragoza, midday)",7028,0,-7028,1.1777,0.0,0,0.0,0,0.1236,0,0.0,0,0.3041,0,0.0,0,0.3396,0
G00-006,COMBO,"silent fault (Munich 50%, 16:00) + under-forecast sun (Valencia, evening) + under-forecast sun (Valencia, afternoon) on a high-evening-price day",6248,3647,-2601,1.1447,0.0,0,0.0039,0,0.4037,0,0.0544,0,0.2276,0,0.3132,0,0.3722,0
G00-007,ECLIPSE,"silent fault (Munich 44%, 17:45) + under-forecast sun (Zaragoza, midday) + under-forecast sun (Zaragoza, afternoon) + eclipse overlay on a high-evening-price day",6215,1754,-4461,1.143,0.0,0,0.0,0,0.4176,0,0.0112,0,0.3032,0,0.4569,0,0.1859,0
G00-008,WEATHER,"missed cloud bank (Valencia, afternoon) + under-forecast sun (Zaragoza, afternoon)",6011,5429,-582,1.1321,0.0,0,0.005,0,0.3552,0,0.0679,0,0.4425,0,0.4381,0,0.0,0
G00-009,ECLIPSE,"silent fault (Munich 44%, 17:45) + under-forecast sun (Zaragoza, midday) + under-forecast sun (Zaragoza, afternoon) + eclipse overlay",6004,1500,-4504,1.1317,0.0,0,0.0,0,0.444,0,0.0079,0,0.5347,1,0.4693,0,0.4082,0
G00-010,COMBO,"silent fault (Munich 46%, 12:15) + missed cloud bank (Zaragoza, midday) + missed cloud bank (Valencia, midday) on a high-evening-price day",10664,18953,8288,1.131,0.0,0,0.1853,0,0.336,0,0.1772,0,0.3689,0,0.0,0,0.0,0
G00-011,ECLIPSE,"missed cloud bank (Zaragoza, midday) + under-forecast sun (Zaragoza, afternoon) + eclipse overlay on a high-evening-price day",5970,3057,-2913,1.1297,0.0,0,0.0,0,0.408,0,0.0015,0,0.3715,0,0.3428,0,0.3313,0
G00-012,ECLIPSE,"under-forecast sun (Zaragoza, midday) + under-forecast sun (Zaragoza, afternoon) + eclipse overlay",5595,464,-5130,1.1063,0.0,0,0.0,0,0.4772,0,0.0,0,0.4045,0,0.4051,0,0.5092,1
G00-013,WEATHER,"missed cloud bank (Zaragoza, midday) + under-forecast sun (Valencia, midday) on a high-evening-price day",5560,3571,-1989,1.104,0.0,0,0.0,0,0.1765,0,0.0608,0,0.0,0,0.0,0,0.0,0
G00-014,ECLIPSE,"under-forecast sun (Zaragoza, afternoon) + eclipse overlay on a high-evening-price day",5060,689,-4371,1.0655,0.0,0,0.0,0,0.4972,0,0.2829,0,0.4674,0,0.3443,0,0.3984,0
G00-015,ECLIPSE,"under-forecast sun (Zaragoza, midday) + under-forecast sun (Zaragoza, evening) + eclipse overlay on a high-evening-price day",5059,696,-4363,1.0654,0.0,0,0.0,0,0.3378,0,0.2553,0,0.3728,0,0.0,0,0.0,0
G00-016,COMBO,"silent fault (Zaragoza 26%, 16:00) + missed cloud bank (Munich, afternoon) on a high-evening-price day",4933,9526,4593,1.0544,0.0,0,0.0067,0,0.4503,0,0.4425,0,0.3982,0,0.2794,0,0.0174,0
G00-017,COMBO,"silent fault (Zaragoza 49%, 16:30) + missed cloud bank (Munich, midday) on a high-evening-price day",5911,10874,4963,1.0491,0.0,0,0.1012,0,0.354,0,0.0,0,0.1892,0,0.4025,0,0.0717,0
